airline,departure_time,arrival_time,duration,stops,price
Thai Lion Air,6:15 AM,4:15 PM,8 hr,1 stop,"THB 10,473"
Thai AirAsia X,2:35 AM,10:45 AM,6 hr 10 min,Nonstop,"THB 10,838"
ZIPAIR Tokyo,11:45 PM,7:30 AM+1,5 hr 45 min,Nonstop,"THB 11,511"
Air Japan,12:10 AM,8:15 AM,6 hr 5 min,Nonstop,"THB 13,991"
THAI,8:00 AM,3:50 PM,5 hr 50 min,Nonstop,"THB 16,821"
Hong Kong Express,7:45 PM,7:05 PM+1,21 hr 20 min,1 stop,"THB 9,228"
Hong Kong Express,10:40 AM,10:45 PM,10 hr 5 min,1 stop,"THB 9,229"
Hong Kong Express,4:25 PM,4:45 AM+1,10 hr 20 min,1 stop,"THB 10,609"
Thai AirAsia X,11:50 PM,8:00 AM+1,6 hr 10 min,Nonstop,"THB 11,338"
ZIPAIR Tokyo,10:35 PM,6:20 AM+1,5 hr 45 min,Nonstop,"THB 11,511"
Thai AirAsia X,11:50 AM,8:00 PM,6 hr 10 min,Nonstop,"THB 12,938"
THAI,10:30 PM,6:20 AM+1,5 hr 50 min,Nonstop,"THB 16,821"
THAIANA,11:55 PM,7:40 AM+1,5 hr 45 min,Nonstop,"THB 16,821"
ANAOperated by Air Japan,2:20 PM,10:10 PM,5 hr 50 min,Nonstop,"THB 18,195"
THAIANA,2:50 PM,10:30 PM,5 hr 40 min,Nonstop,"THB 19,775"
THAI,11:15 PM,6:55 AM+1,5 hr 40 min,Nonstop,"THB 19,775"
JALBangkok Airways,8:05 AM,4:00 PM,5 hr 55 min,Nonstop,"THB 20,601"
JALBangkok Airways,9:55 AM,5:30 PM,5 hr 35 min,Nonstop,"THB 20,875"
ANA,10:25 PM,6:05 AM+1,5 hr 40 min,Nonstop,"THB 21,345"
ANAOperated by Air Japan,7:10 AM,3:05 PM,5 hr 55 min,Nonstop,"THB 21,460"
JALBangkok Airways,10:05 PM,5:40 AM+1,5 hr 35 min,Nonstop,"THB 22,375"
ANA,9:10 AM,4:55 PM,5 hr 45 min,Nonstop,"THB 23,695"
