airline,departure_time,arrival_time,duration,stops,price,price_text,departure_date,return_date,origin,destination
Air Japan,12:10 AM,8:15 AM,6 hr 5 min,Nonstop,14581.0,"THB 14,581",2025-12-15,2025-12-22,BKK,NRT
ZIPAIR Tokyo,11:45 PM,7:30 AM+1,5 hr 45 min,Nonstop,15441.0,"THB 15,441",2025-12-15,2025-12-22,BKK,NRT
THAIANA,11:55 PM,7:40 AM+1,5 hr 45 min,Nonstop,19651.0,"THB 19,651",2025-12-15,2025-12-22,BKK,NRT
Hainan,4:15 PM,11:55 AM+1,17 hr 40 min,1 stop,11837.0,"THB 11,837",2025-12-15,2025-12-22,BKK,NRT
ShenzhenAir China,3:15 AM,6:00 PM,12 hr 45 min,1 stop,12530.0,"THB 12,530",2025-12-15,2025-12-22,BKK,NRT
China Southern,6:05 PM,1:20 PM+1,17 hr 15 min,1 stop,13725.0,"THB 13,725",2025-12-15,2025-12-22,BKK,NRT
China Eastern,2:35 AM,1:50 PM,9 hr 15 min,1 stop,13831.0,"THB 13,831",2025-12-15,2025-12-22,BKK,NRT
THAI,10:30 PM,6:20 AM+1,5 hr 50 min,Nonstop,19651.0,"THB 19,651",2025-12-15,2025-12-22,BKK,NRT
THAI,8:00 AM,3:50 PM,5 hr 50 min,Nonstop,22286.0,"THB 22,286",2025-12-15,2025-12-22,BKK,NRT
JALBangkok Airways,8:05 AM,4:00 PM,5 hr 55 min,Nonstop,23431.0,"THB 23,431",2025-12-15,2025-12-22,BKK,NRT
ANAOperated by Air Japan,7:10 AM,3:05 PM,5 hr 55 min,Nonstop,23610.0,"THB 23,610",2025-12-15,2025-12-22,BKK,NRT
Air Japan,12:10 AM,8:15 AM,6 hr 5 min,Nonstop,14581.0,"THB 14,581",2025-12-15,2025-12-22,BKK,NRT
ZIPAIR Tokyo,11:45 PM,7:30 AM+1,5 hr 45 min,Nonstop,15441.0,"THB 15,441",2025-12-15,2025-12-22,BKK,NRT
