airline,departure_time,arrival_time,duration,stops,price,price_text,departure_date,return_date,origin,destination
Air Japan,12:10 AM,8:15 AM,6 hr 5 min,Nonstop,16919.0,"THB 16,919",2025-11-15,2025-11-22,BKK,NRT
ZIPAIR Tokyo,11:45 PM,7:30 AM+1,5 hr 45 min,Nonstop,17399.0,"THB 17,399",2025-11-15,2025-11-22,BKK,NRT
THAIANA,10:30 PM,6:20 AM+1,5 hr 50 min,Nonstop,20309.0,"THB 20,309",2025-11-15,2025-11-22,BKK,NRT
ShenzhenAir China,3:15 AM,6:00 PM,12 hr 45 min,1 stop,15904.0,"THB 15,904",2025-11-15,2025-11-22,BKK,NRT
XiamenAir,1:45 AM,1:45 PM,10 hr,1 stop,16920.0,"THB 16,920",2025-11-15,2025-11-22,BKK,NRT
THAIANA,11:45 PM,7:40 AM+1,5 hr 55 min,Nonstop,20309.0,"THB 20,309",2025-11-15,2025-11-22,BKK,NRT
JALBangkok Airways,8:05 AM,4:00 PM,5 hr 55 min,Nonstop,24089.0,"THB 24,089",2025-11-15,2025-11-22,BKK,NRT
ANAOperated by Air Japan,7:10 AM,3:05 PM,5 hr 55 min,Nonstop,32524.0,"THB 32,524",2025-11-15,2025-11-22,BKK,NRT
THAI,8:00 AM,3:50 PM,5 hr 50 min,Nonstop,32789.0,"THB 32,789",2025-11-15,2025-11-22,BKK,NRT
Air Japan,12:10 AM,8:15 AM,6 hr 5 min,Nonstop,16919.0,"THB 16,919",2025-11-15,2025-11-22,BKK,NRT
ZIPAIR Tokyo,11:45 PM,7:30 AM+1,5 hr 45 min,Nonstop,17399.0,"THB 17,399",2025-11-15,2025-11-22,BKK,NRT
THAIANA,10:30 PM,6:20 AM+1,5 hr 50 min,Nonstop,20309.0,"THB 20,309",2025-11-15,2025-11-22,BKK,NRT
ShenzhenAir China,3:15 AM,6:00 PM,12 hr 45 min,1 stop,15904.0,"THB 15,904",2025-11-15,2025-11-22,BKK,NRT
XiamenAir,1:45 AM,1:45 PM,10 hr,1 stop,16920.0,"THB 16,920",2025-11-15,2025-11-22,BKK,NRT
THAIANA,11:45 PM,7:40 AM+1,5 hr 55 min,Nonstop,20309.0,"THB 20,309",2025-11-15,2025-11-22,BKK,NRT
JALBangkok Airways,8:05 AM,4:00 PM,5 hr 55 min,Nonstop,24089.0,"THB 24,089",2025-11-15,2025-11-22,BKK,NRT
ANAOperated by Air Japan,7:10 AM,3:05 PM,5 hr 55 min,Nonstop,32524.0,"THB 32,524",2025-11-15,2025-11-22,BKK,NRT
THAI,8:00 AM,3:50 PM,5 hr 50 min,Nonstop,32789.0,"THB 32,789",2025-11-15,2025-11-22,BKK,NRT
Air Japan,12:10 AM,8:15 AM,6 hr 5 min,Nonstop,13598.0,"THB 13,598",2025-12-15,2025-12-22,BKK,NRT
ZIPAIR Tokyo,11:45 PM,7:30 AM+1,5 hr 45 min,Nonstop,15448.0,"THB 15,448",2025-12-15,2025-12-22,BKK,NRT
THAIANA,11:55 PM,7:40 AM+1,5 hr 45 min,Nonstop,19658.0,"THB 19,658",2025-12-15,2025-12-22,BKK,NRT
Hainan,4:15 PM,11:55 AM+1,17 hr 40 min,1 stop,11843.0,"THB 11,843",2025-12-15,2025-12-22,BKK,NRT
ShenzhenAir China,3:15 AM,6:00 PM,12 hr 45 min,1 stop,12530.0,"THB 12,530",2025-12-15,2025-12-22,BKK,NRT
China Eastern,2:35 AM,1:50 PM,9 hr 15 min,1 stop,13840.0,"THB 13,840",2025-12-15,2025-12-22,BKK,NRT
THAI,10:30 PM,6:20 AM+1,5 hr 50 min,Nonstop,19658.0,"THB 19,658",2025-12-15,2025-12-22,BKK,NRT
THAI,8:00 AM,3:50 PM,5 hr 50 min,Nonstop,22293.0,"THB 22,293",2025-12-15,2025-12-22,BKK,NRT
JALBangkok Airways,8:05 AM,4:00 PM,5 hr 55 min,Nonstop,23438.0,"THB 23,438",2025-12-15,2025-12-22,BKK,NRT
ANAOperated by Air Japan,7:10 AM,3:05 PM,5 hr 55 min,Nonstop,23610.0,"THB 23,610",2025-12-15,2025-12-22,BKK,NRT
Air Japan,12:10 AM,8:15 AM,6 hr 5 min,Nonstop,13598.0,"THB 13,598",2025-12-15,2025-12-22,BKK,NRT
ZIPAIR Tokyo,11:45 PM,7:30 AM+1,5 hr 45 min,Nonstop,15448.0,"THB 15,448",2025-12-15,2025-12-22,BKK,NRT
THAIANA,11:55 PM,7:40 AM+1,5 hr 45 min,Nonstop,19658.0,"THB 19,658",2025-12-15,2025-12-22,BKK,NRT
Hainan,4:15 PM,11:55 AM+1,17 hr 40 min,1 stop,11843.0,"THB 11,843",2025-12-15,2025-12-22,BKK,NRT
ShenzhenAir China,3:15 AM,6:00 PM,12 hr 45 min,1 stop,12530.0,"THB 12,530",2025-12-15,2025-12-22,BKK,NRT
China Eastern,2:35 AM,1:50 PM,9 hr 15 min,1 stop,13840.0,"THB 13,840",2025-12-15,2025-12-22,BKK,NRT
THAI,10:30 PM,6:20 AM+1,5 hr 50 min,Nonstop,19658.0,"THB 19,658",2025-12-15,2025-12-22,BKK,NRT
THAI,8:00 AM,3:50 PM,5 hr 50 min,Nonstop,22293.0,"THB 22,293",2025-12-15,2025-12-22,BKK,NRT
JALBangkok Airways,8:05 AM,4:00 PM,5 hr 55 min,Nonstop,23438.0,"THB 23,438",2025-12-15,2025-12-22,BKK,NRT
ANAOperated by Air Japan,7:10 AM,3:05 PM,5 hr 55 min,Nonstop,23610.0,"THB 23,610",2025-12-15,2025-12-22,BKK,NRT
ZIPAIR Tokyo,11:45 PM,7:30 AM+1,5 hr 45 min,Nonstop,13035.0,"THB 13,035",2026-01-15,2026-01-22,BKK,NRT
Air Japan,12:10 AM,8:15 AM,6 hr 5 min,Nonstop,13855.0,"THB 13,855",2026-01-15,2026-01-22,BKK,NRT
THAI,8:00 AM,3:50 PM,5 hr 50 min,Nonstop,17245.0,"THB 17,245",2026-01-15,2026-01-22,BKK,NRT
Hong Kong Express,4:25 PM,7:05 PM+1,24 hr 40 min,1 stop,9229.0,"THB 9,229",2026-01-15,2026-01-22,BKK,NRT
Hong Kong Express,4:25 PM,6:55 AM+1,12 hr 30 min,1 stop,10665.0,"THB 10,665",2026-01-15,2026-01-22,BKK,NRT
China Eastern,2:20 AM,3:55 PM,11 hr 35 min,2 stops,10900.0,"THB 10,900",2026-01-15,2026-01-22,BKK,NRT
"Shanghai Airlines, China Eastern",5:05 AM,3:55 PM,8 hr 50 min,1 stop,11442.0,"THB 11,442",2026-01-15,2026-01-22,BKK,NRT
"Shanghai Airlines, China Eastern",9:25 AM,8:55 PM,9 hr 30 min,1 stop,11442.0,"THB 11,442",2026-01-15,2026-01-22,BKK,NRT
THAI,10:30 PM,6:20 AM+1,5 hr 50 min,Nonstop,17245.0,"THB 17,245",2026-01-15,2026-01-22,BKK,NRT
THAIANA,11:55 PM,7:40 AM+1,5 hr 45 min,Nonstop,17245.0,"THB 17,245",2026-01-15,2026-01-22,BKK,NRT
JALBangkok Airways,8:05 AM,4:00 PM,5 hr 55 min,Nonstop,21025.0,"THB 21,025",2026-01-15,2026-01-22,BKK,NRT
ANAOperated by Air Japan,7:10 AM,3:05 PM,5 hr 55 min,Nonstop,23610.0,"THB 23,610",2026-01-15,2026-01-22,BKK,NRT
ZIPAIR Tokyo,11:45 PM,7:30 AM+1,5 hr 45 min,Nonstop,13035.0,"THB 13,035",2026-01-15,2026-01-22,BKK,NRT
Air Japan,12:10 AM,8:15 AM,6 hr 5 min,Nonstop,13855.0,"THB 13,855",2026-01-15,2026-01-22,BKK,NRT
THAI,8:00 AM,3:50 PM,5 hr 50 min,Nonstop,17245.0,"THB 17,245",2026-01-15,2026-01-22,BKK,NRT
Hong Kong Express,4:25 PM,7:05 PM+1,24 hr 40 min,1 stop,9229.0,"THB 9,229",2026-01-15,2026-01-22,BKK,NRT
Hong Kong Express,4:25 PM,6:55 AM+1,12 hr 30 min,1 stop,10665.0,"THB 10,665",2026-01-15,2026-01-22,BKK,NRT
China Eastern,2:20 AM,3:55 PM,11 hr 35 min,2 stops,10900.0,"THB 10,900",2026-01-15,2026-01-22,BKK,NRT
"Shanghai Airlines, China Eastern",5:05 AM,3:55 PM,8 hr 50 min,1 stop,11442.0,"THB 11,442",2026-01-15,2026-01-22,BKK,NRT
"Shanghai Airlines, China Eastern",9:25 AM,8:55 PM,9 hr 30 min,1 stop,11442.0,"THB 11,442",2026-01-15,2026-01-22,BKK,NRT
THAI,10:30 PM,6:20 AM+1,5 hr 50 min,Nonstop,17245.0,"THB 17,245",2026-01-15,2026-01-22,BKK,NRT
THAIANA,11:55 PM,7:40 AM+1,5 hr 45 min,Nonstop,17245.0,"THB 17,245",2026-01-15,2026-01-22,BKK,NRT
JALBangkok Airways,8:05 AM,4:00 PM,5 hr 55 min,Nonstop,21025.0,"THB 21,025",2026-01-15,2026-01-22,BKK,NRT
ANAOperated by Air Japan,7:10 AM,3:05 PM,5 hr 55 min,Nonstop,23610.0,"THB 23,610",2026-01-15,2026-01-22,BKK,NRT
